,Gender,course_type,2014,2016,2017,2018,2020,2021,2022,total
0,male,computer_science,42,30,33,34,35,41,29,244
1,female,computer_science,11,13,11,10,11,12,16,84
2,male,microprocessor_technology_and_instrumentation,20,25,23,25,24,25,21,163
3,female,microprocessor_technology_and_instrumentation,3,8,7,5,6,5,9,43
,sum,,76,76,74,74,76,83,75,534
